num;bug;test;fix
1;fc532a10a6f3090e1a09a62d804466bfeac70c5e;f76cc4b9e30f28747ab7f74ce3f9963cd2dec624;a84b48c1060533f996db9247642f3678b580da3f
2;31702dc93958fc9d3d938deb0fafada23cd93ba1;;8cc3c3d7d375f3c76074aeb8258aa569189c8d05
3;8cc3c3d7d375f3c76074aeb8258aa569189c8d05;1e58163129edb888491b4b8f48ff9c593766a6d7;84d3a249fe39766cf09abda10a7b272f49dda3ab
4;75d8d0ff876da059b96a37334f2b5eaa43782d9a;;046c0f2dcb785ff6447e4b8554fd704fe7f01790
5;046c0f2dcb785ff6447e4b8554fd704fe7f01790;;98c0816277d5265a04a38ff0ff937181227ad496
6;aa070423f4211b65ba052a54f2ab43ebfde07829;0ee23b5f513b4cb598244117c403c5ee82e9f85c;de15477e481da5a69eff3ff2095525da58c82022
7;31a09cf129709f3228b89eae4bed5c9fe0c6dc09;e04965fb0cd744ce4d9ef1dd788e3456df038fb1;e04965fb0cd744ce4d9ef1dd788e3456df038fb1
8;117285213a68dafbddd53a738b636f2415b9324e;c904efc1c71e5fa16155ac46b5d97285c0ba2f46;6cfcb48365150493de9b771db8db33e729d86e3b
9;9c7dd1350e10500d3f9f857617663f196b155a0c;f4aec8228258bb32175028ae88019acb7ec368bc;9cacd93c3643509c246186c03a3d9400268d4157
10;74317bf44889da11dbe5217597b423dccedea403;;3f53707f0850a6b9042efa3a15bd8811dd18d44c
11;3f53707f0850a6b9042efa3a15bd8811dd18d44c;;307bf4d2d0c8d14cb98a4c67b0d4689306571c24
12;307bf4d2d0c8d14cb98a4c67b0d4689306571c24;f4036efc3376645d197a7baa7f751c93d2f05da0;443cf5c229caec85a8a7c2e60b1dc811b419276d
13;115dba118fdbaeb3afa8935684ca71d8eef726d2;301c9f738eaa327c577fca613048b1e39c78d892;7e538066c7e411167a269d2502531f45829ec318
